symbol,date,gradingCompany,previousGrade,newGrade,action,fetch_date
COIN,2025-10-03,Rothschild & Co,Neutral,Buy,upgrade,2025-10-05
COIN,2025-08-15,Barclays,Equal Weight,Equal Weight,maintain,2025-10-05
COIN,2025-08-04,"Keefe, Bruyette & Woods",Market Perform,Market Perform,maintain,2025-10-05
CTVA,2025-10-03,Keybanc,Overweight,Sector Weight,downgrade,2025-10-05
CTVA,2025-10-02,Citigroup,Buy,Neutral,downgrade,2025-10-05
CTVA,2025-10-02,JP Morgan,Neutral,Overweight,upgrade,2025-10-05
COIN,2025-10-03,Rothschild & Co,Neutral,Buy,upgrade,2025-10-06
COIN,2025-08-15,Barclays,Equal Weight,Equal Weight,maintain,2025-10-06
COIN,2025-08-04,"Keefe, Bruyette & Woods",Market Perform,Market Perform,maintain,2025-10-06
CTVA,2025-10-03,Keybanc,Overweight,Sector Weight,downgrade,2025-10-06
CTVA,2025-10-02,Citigroup,Buy,Neutral,downgrade,2025-10-06
CTVA,2025-10-02,JP Morgan,Neutral,Overweight,upgrade,2025-10-06
COIN,2025-10-03,Rothschild & Co,Neutral,Buy,upgrade,2025-10-07
COIN,2025-08-15,Barclays,Equal Weight,Equal Weight,maintain,2025-10-07
COIN,2025-08-04,"Keefe, Bruyette & Woods",Market Perform,Market Perform,maintain,2025-10-07
LII,2025-10-06,Wells Fargo,Underweight,Equal Weight,upgrade,2025-10-07
LII,2025-09-23,UBS,Neutral,Neutral,maintain,2025-10-07
LII,2025-09-17,Oppenheimer,Outperform,Outperform,maintain,2025-10-07
CRL,2025-10-06,William Blair,Market Perform,Outperform,upgrade,2025-10-07
CRL,2025-10-03,Evercore ISI Group,Outperform,Outperform,maintain,2025-10-07
CRL,2025-10-02,Barclays,Equal Weight,Overweight,upgrade,2025-10-07
COIN,2025-10-03,Rothschild & Co,Neutral,Buy,upgrade,
COIN,2025-08-15,Barclays,Equal Weight,Equal Weight,maintain,
COIN,2025-08-04,"Keefe, Bruyette & Woods",Market Perform,Market Perform,maintain,
LII,2025-10-06,Wells Fargo,Underweight,Equal Weight,upgrade,
LII,2025-09-23,UBS,Neutral,Neutral,maintain,
LII,2025-09-17,Oppenheimer,Outperform,Outperform,maintain,
CRL,2025-10-06,William Blair,Market Perform,Outperform,upgrade,
CRL,2025-10-03,Evercore ISI Group,Outperform,Outperform,maintain,
CRL,2025-10-02,Barclays,Equal Weight,Overweight,upgrade,
